肖申克的救赎,1994,9.7,2545239人评价
霸王别姬,1993,9.6,1891293人评价
阿甘正传,1994,9.5,1911848人评价
泰坦尼克号,1997,9.4,1873473人评价
这个杀手不太冷,1994,9.4,2070409人评价
美丽人生,1997,9.6,1172991人评价
千与千寻,2001,9.4,1993009人评价
辛德勒的名单,1993,9.5,978663人评价
盗梦空间,2010,9.4,1836057人评价
忠犬八公的故事,2009,9.4,1258633人评价
星际穿越,2014,9.4,1517798人评价
楚门的世界,1998,9.3,1439804人评价
海上钢琴师,1998,9.3,1491577人评价
三傻大闹宝莱坞,2009,9.2,1669310人评价
机器人总动员,2008,9.3,1176280人评价
放牛班的春天,2004,9.3,1160918人评价
无间道,2002,9.3,1165205人评价
疯狂动物城,2016,9.2,1670034人评价
大话西游之大圣娶亲,1995,9.2,1362817人评价
熔炉,2011,9.3,829086人评价
教父,1972,9.3,836555人评价
当幸福来敲门,2006,9.2,1350340人评价
控方证人,1957,9.6,429002人评价
怦然心动,2010,9.1,1615130人评价
龙猫,1988,9.2,1125269人评价
触不可及,2011,9.3,923974人评价
末代皇帝,1987,9.3,744924人评价
寻梦环游记,2017,9.1,1434829人评价
蝙蝠侠：黑暗骑士,2008,9.2,925253人评价
活着,1994,9.3,724470人评价
哈利·波特与魔法石,2001,9.1,1001590人评价
指环王3：王者无敌,2003,9.3,707476人评价
乱世佳人,1939,9.3,611186人评价
素媛,2013,9.3,596373人评价
飞屋环游记,2009,9.1,1175422人评价
摔跤吧！爸爸,2016,9.0,1396222人评价
何以为家,2018,9.1,909879人评价
我不是药神,2018,9.0,1861638人评价
十二怒汉,1957,9.4,415872人评价
哈尔的移动城堡,2004,9.1,886245人评价
少年派的奇幻漂流,2012,9.1,1214272人评价
鬼子来了,2000,9.3,546551人评价
大话西游之月光宝盒,1995,9.0,1086117人评价
天空之城,1986,9.1,732294人评价
猫鼠游戏,2002,9.1,836785人评价
天堂电影院,1988,9.2,609589人评价
闻香识女人,1992,9.1,764869人评价
指环王2：双塔奇兵,2002,9.2,659644人评价
罗马假日,1953,9.1,853292人评价
钢琴家,2002,9.2,516796人评价
让子弹飞,2010,8.9,1467575人评价
指环王1：护戒使者,2001,9.1,746974人评价
黑客帝国,1999,9.1,741365人评价
辩护人,2013,9.2,528986人评价
大闹天宫,1961(中国大陆) / 1964(中国大陆) / 1978(中国大陆),9.4,372131人评价
海蒂和爷爷,2015,9.3,452659人评价
教父2,1974,9.2,472266人评价
死亡诗社,1989,9.1,617740人评价
狮子王,1994,9.1,733798人评价
绿皮书,2018,8.9,1401679人评价
搏击俱乐部,1999,9.0,748758人评价
饮食男女,1994,9.2,533187人评价
美丽心灵,2001,9.1,674738人评价
窃听风暴,2006,9.2,496026人评价
本杰明·巴顿奇事,2008,9.0,869411人评价
情书,1995,8.9,933935人评价
两杆大烟枪,1998,9.1,531561人评价
穿条纹睡衣的男孩,2008,9.2,472527人评价
西西里的美丽传说,2000,8.9,862309人评价
看不见的客人,2016,8.8,1091242人评价
拯救大兵瑞恩,1998,9.1,571349人评价
飞越疯人院,1975,9.1,496831人评价
音乐之声,1965,9.1,529201人评价
小鞋子,1997,9.2,359448人评价
阿凡达,2009,8.8,1232661人评价
海豚湾,2009,9.3,328521人评价
沉默的羔羊,1991,8.9,768286人评价
致命魔术,2006,8.9,757653人评价
哈利·波特与死亡圣器(下),2011,8.9,711722人评价
禁闭岛,2010,8.8,845932人评价
美国往事,1984,9.2,363762人评价
蝴蝶效应,2004,8.8,824417人评价
布达佩斯大饭店,2014,8.9,797264人评价
心灵捕手,1997,8.9,623693人评价
低俗小说,1994,8.9,732604人评价
春光乍泄,1997,9.0,552803人评价
摩登时代,1936,9.3,259650人评价
七宗罪,1995,8.8,845827人评价
喜剧之王,1999,8.8,849048人评价
致命ID,2003,8.8,712670人评价
杀人回忆,2003,8.9,607396人评价
被嫌弃的松子的一生,2006,8.9,636859人评价
加勒比海盗,2003,8.8,761928人评价
红辣椒,2006,9.0,384756人评价
功夫,2004,8.7,935645人评价
狩猎,2012,9.1,333414人评价
请以你的名字呼唤我,2017,8.9,617646人评价
超脱,2011,8.9,469673人评价
